,StockExchange,code,ISIN
568,WSE,PBSFINANSE,ISIN PLBEFSN00010
569,WSE,PCCEXOL,ISIN PLPCCEX00010
571,WSE,PCCROKITA,ISIN PLPCCRK00076
572,WSE,PCGUARD,ISIN PLGUARD00019
573,WSE,PCM,ISIN PLPRMCM00048
575,WSE,PEIXIN,ISIN NL0010577052
576,WSE,PEKABEX,ISIN PLPKBEX00072
578,WSE,PEKAO,ISIN PLPEKAO00016
580,WSE,PEMANAGER,ISIN PLPREQM00011
582,WSE,PEP,ISIN PLPLSEP00013
583,WSE,PEPEES,ISIN PLPEPES00018
586,WSE,PFLEIDER,ISIN PLZPW0000017
587,WSE,PGE,ISIN PLPGER000010
589,WSE,PGNIG,ISIN PLPGNIG00014
590,WSE,PGO,ISIN PLPGO0000014
592,WSE,PGSSOFT,ISIN PLSFTWR00015
593,WSE,PHARMENA,ISIN PLPHRMN00011
594,WSE,PHN,ISIN PLPHN0000014
596,WSE,PKNORLEN,ISIN PLPKN0000018
597,WSE,PKOBP,ISIN PLPKO0000016
598,WSE,PKPCARGO,ISIN PLPKPCR00011
599,WSE,PLASTBOX,ISIN PLPSTBX00016
600,WSE,PLATYNINW,ISIN PLADDRG00015
601,WSE,PLAY,ISIN LU1642887738
602,WSE,PLAYWAY,ISIN PLPLAYW00015
603,WSE,PLAZACNTR,ISIN NL0011882741
604,WSE,PMPG,ISIN PLPEKPL00010
611,WSE,POLICE,ISIN PLZCPLC00036
617,WSE,POLIMEXMS,ISIN PLMSTSD00019
625,WSE,POLNORD,ISIN PLPOLND00019
627,WSE,POLWAX,ISIN PLPOLWX00026
631,WSE,POZBUD,ISIN PLPZBDT00013
636,WSE,PRAGMAFA,ISIN PLGFPRE00040
637,WSE,PRAGMAINK,ISIN PLPRGNK00017
638,WSE,PRAIRIE,ISIN AU000000PDZ2
641,WSE,PRIMAMODA,ISIN PLPRMMD00012
642,WSE,PRIMETECH,ISIN PLKOPEX00018
643,WSE,PROCAD,ISIN PLPRCAD00018
644,WSE,PROCHEM,ISIN PLPRCHM00014
646,WSE,PROJPRZEM,ISIN PLPROJP00018
650,WSE,PROTEKTOR,ISIN PLLZPSK00019
651,WSE,PROVIDENT,ISIN GB00B1YKG049
655,WSE,PULAWY,ISIN PLZAPUL00057
657,WSE,PZU,ISIN PLPZU0000011
658,WSE,QUANTUM,ISIN PLQNTUM00018
659,WSE,QUERCUS,ISIN PLQRCUS00012
660,WSE,QUMAK,ISIN PLQMKSK00017
662,WSE,R22,ISIN PLR220000018
663,WSE,RADPOL,ISIN PLRDPOL00010
664,WSE,RAFAKO,ISIN PLRAFAK00018
665,WSE,RAFAMET,ISIN PLRFMET00016
666,WSE,RAINBOW,ISIN PLRNBWT00031
667,WSE,RANKPROGR,ISIN PLRNKPR00014
668,WSE,RAWLPLUG,ISIN PLKLNR000017
669,WSE,REDAN,ISIN PLREDAN00019
670,WSE,REDWOOD,ISIN PLCMPLX00014
671,WSE,REGNON,ISIN PLPRNTC00017
672,WSE,REINHOLD,ISIN SE0001856519
673,WSE,REINO,ISIN PLWDM0000029
674,WSE,RELPOL,ISIN PLRELPL00014
675,WSE,REMAK,ISIN PLREMAK00016
676,WSE,RESBUD,ISIN EE3100142985
677,WSE,RESPECT,
680,WSE,RONSON,ISIN NL0006106007
681,WSE,ROPCZYCE,ISIN PLROPCE00017
683,WSE,RUBICON,ISIN PLNFI0500012
685,WSE,SADOVAYA,ISIN LU0564351582
686,WSE,SANOK,ISIN PLSTLSK00016
687,WSE,SANPL,ISIN PLBZ00000044
689,WSE,SANTANDER,ISIN ES0113900J37
690,WSE,SANWIL,ISIN PLSANWL00012
691,WSE,SARE,ISIN PLSARE000013
692,WSE,SCOPAK,ISIN PLSCOPK00012
693,WSE,SECOGROUP,ISIN PLWRWCK00013
694,WSE,SEKO,ISIN PLSEKO000014
695,WSE,SELENAFM,ISIN PLSELNA00010
696,WSE,SELVITA,ISIN PLSELVT00013
697,WSE,SERINUS,ISIN JE00BF4N9R98
698,WSE,SESCOM,ISIN PLSESCM00013
699,WSE,SETANTA,ISIN PLSNTFG00017
700,WSE,SFINKS,ISIN PLSFNKS00011
701,WSE,SILVAIR_REGS,ISIN USU827061099
702,WSE,SILVANO,ISIN EE3100001751
703,WSE,SIMPLE,ISIN PLSIMPL00011
704,WSE,SKARBIEC,ISIN PLSKRBH00014
706,WSE,SKOTAN,ISIN PLSKTAN00010
708,WSE,SKYLINE,ISIN PLSKLNW00011
710,WSE,SLEEPZAG,ISIN DE000A2E3772
712,WSE,SNIEZKA,ISIN PLSNZKA00033
714,WSE,SOHODEV,ISIN PLNFI0400015
716,WSE,SOLAR,ISIN PLSLRCP00021
717,WSE,SONEL,ISIN PLSONEL00011
718,WSE,SOPHARMA,ISIN BG11SOSOBT18
722,WSE,STALEXP,ISIN PLSTLEX00019
724,WSE,STALPROD,ISIN PLSTLPD00017
